time,open,high,low,close,vol
1666872000,20622.11,20780.0,20200.0,20295.11,195888.17998
1666915200,20295.11,20337.8,20026.0,20173.74,125379.62335
1666958400,20174.0,20750.0,20000.09,20591.84,161660.32234
1667001600,20591.84,21085.0,20554.01,20698.89,131064.82469
1667044800,20698.06,20982.86,20676.54,20809.67,123816.95286
1667088000,20809.68,20931.21,20632.73,20769.84,98620.58187
1667131200,20770.81,20781.5,20515.0,20627.48,94175.02699
1667174400,20627.48,20845.92,20427.23,20730.54,125030.87452
1667217600,20731.53,20755.73,20237.95,20490.74,178536.74176
1667260800,20490.74,20700.0,20440.64,20522.79,137596.08247
1667304000,20522.23,20570.07,20330.74,20483.62,142336.35524
1667347200,20482.81,20563.36,20339.99,20431.33,119370.49643
1667390400,20432.38,20800.0,20048.04,20151.84,254345.77656
1667433600,20151.84,20393.32,20052.0,20130.64,142153.84502
1667476800,20129.8,20339.86,20031.24,20207.82,177031.30938
1667520000,20207.12,20688.0,20180.96,20558.46,172802.57868
1667563200,20558.03,21302.05,20350.0,21148.52,280891.81297
1667606400,21148.52,21480.65,21080.65,21404.63,142674.27388
1667649600,21404.63,21420.84,21210.98,21299.37,102947.71137
1667692800,21299.37,21365.27,21143.27,21255.08,103966.40741
1667736000,21254.8,21289.49,20886.13,20905.58,126070.56476
1667779200,20905.58,21069.77,20571.52,20733.46,191658.23808
1667822400,20733.97,20892.04,20384.89,20591.13,195319.36529
1667865600,20590.67,20673.38,19344.0,19699.04,286123.61063
1667908800,19699.04,20700.88,17166.83,18547.23,474581.752153
1667952000,18545.38,18587.76,17250.33,17818.08,317737.52025
1667995200,17817.07,18015.0,15588.0,15922.81,414189.409479
1668038400,15922.68,16959.99,15754.26,16397.57,294849.03096
1668081600,16399.03,18199.0,16386.66,17601.15,313599.33336
1668124800,17602.45,17695.0,16888.76,17350.7,184885.86257
1668168000,17349.45,17544.9,16361.6,17070.31,208667.00235
1668211200,17069.98,17119.1,16631.39,16866.92,106041.61375
1668254400,16866.46,16996.35,16757.0,16812.08,61778.3466
