id,code,tradeStatus,code_name,exchange,type,date
sh.600159,600159,1,大龙地产,sh,1,1998-05-26
sh.600160,600160,1,巨化股份,sh,1,1998-06-26
sh.600161,600161,1,天坛生物,sh,1,1998-06-16
sh.600162,600162,1,香江控股,sh,1,1998-06-09
sh.600163,600163,1,中闽能源,sh,1,1998-06-02
sh.600165,600165,1,*ST宁科,sh,1,1998-05-29
sh.600166,600166,1,福田汽车,sh,1,1998-06-02
sh.600167,600167,1,联美控股,sh,1,1999-01-28
sh.600168,600168,0,武汉控股,sh,1,1998-04-27
sh.600169,600169,1,太原重工,sh,1,1998-09-04
sh.600170,600170,1,上海建工,sh,1,1998-06-23
sh.600171,600171,1,上海贝岭,sh,1,1998-09-24
sh.600172,600172,1,黄河旋风,sh,1,1998-11-26
sh.600173,600173,1,卧龙地产,sh,1,1999-04-15
sh.600176,600176,1,中国巨石,sh,1,1999-04-22
sh.600177,600177,1,雅戈尔,sh,1,1998-11-19
sh.600178,600178,1,东安动力,sh,1,1998-10-14
sh.600179,600179,1,安通控股,sh,1,1998-11-04
sh.600180,600180,1,瑞茂通,sh,1,1998-07-03
sh.600182,600182,1,S佳通,sh,1,1999-05-07
sh.600183,600183,1,生益科技,sh,1,1998-10-28
sh.600184,600184,1,光电股份,sh,1,2003-11-06
sh.600185,600185,1,格力地产,sh,1,1999-06-11
sh.600186,600186,1,莲花控股,sh,1,1998-08-25
sh.600187,600187,1,国中水务,sh,1,1998-11-11
sh.600188,600188,1,兖矿能源,sh,1,1998-07-01
sh.600189,600189,1,泉阳泉,sh,1,1998-10-07
sh.600190,600190,1,ST锦港,sh,1,1999-06-09
sh.600191,600191,1,华资实业,sh,1,1998-12-10
sh.600192,600192,1,长城电工,sh,1,1998-12-24
sh.600193,600193,1,创兴资源,sh,1,1999-05-27
sh.600195,600195,1,中牧股份,sh,1,1999-01-07
sh.600196,600196,1,复星医药,sh,1,1998-08-07
sh.600197,600197,1,伊力特,sh,1,1999-09-16
sh.600198,600198,1,大唐电信,sh,1,1998-10-21
sh.600199,600199,1,金种子酒,sh,1,1998-08-12
sh.600200,600200,1,江苏吴中,sh,1,1999-04-01
sh.600201,600201,1,生物股份,sh,1,1999-01-15
sh.600202,600202,1,哈空调,sh,1,1999-06-03
sh.600203,600203,1,福日电子,sh,1,1999-05-14
sh.600206,600206,1,有研新材,sh,1,1999-03-19
sh.600207,600207,1,安彩高科,sh,1,1999-07-14
sh.600208,600208,1,衢州发展,sh,1,1999-06-23
sh.600210,600210,1,紫江企业,sh,1,1999-08-24
sh.600211,600211,1,西藏药业,sh,1,1999-07-21
sh.600212,600212,1,绿能慧充,sh,1,1999-08-17
sh.600215,600215,1,派斯林,sh,1,1999-09-09
sh.600216,600216,1,浙江医药,sh,1,1999-10-21
sh.600217,600217,1,中再资环,sh,1,1999-12-16
sh.600218,600218,1,全柴动力,sh,1,1998-12-03
sh.600219,600219,1,南山铝业,sh,1,1999-12-23
sh.600221,600221,1,海航控股,sh,1,1999-11-25
sh.600222,600222,1,太龙药业,sh,1,1999-11-05
sh.600223,600223,1,福瑞达,sh,1,2000-01-13
sh.600225,600225,0,退市卓朗,sh,1,2000-01-27
sh.600226,600226,1,亨通股份,sh,1,1999-11-16
sh.600227,600227,1,赤天化,sh,1,2000-02-21
sh.600228,600228,1,返利科技,sh,1,1999-01-19
sh.600229,600229,1,城市传媒,sh,1,2000-03-09
sh.600230,600230,1,沧州大化,sh,1,2000-04-06
sh.600231,600231,1,凌钢股份,sh,1,2000-05-11
sh.600232,600232,1,金鹰股份,sh,1,2000-06-02
sh.600233,600233,1,圆通速递,sh,1,2000-06-08
sh.600234,600234,1,*ST科新,sh,1,2000-06-15
sh.600235,600235,1,民丰特纸,sh,1,2000-06-15
